UniProtKB	Symbol	Name	Anntation_qualifier	GO_class_direct	Annotation_extension	Contributor	Organism	Evidence	Envidence_with	PANTHER_family	Type	Isoform	Reference	Date
O14521	SDHD	"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial"		GO:0005749		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001000243|SGD:S000004154|UniProtKB:A5GZW8	PANTHER:PTHR13337	protein		PMID:21873635	20170228
O14521	SDHD	"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial"		GO:0006121		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001000243|SGD:S000004154	PANTHER:PTHR13337	protein		PMID:21873635	20170228
Q8TAA5	GRPEL2	"GrpE protein homolog 2, mitochondrial"		GO:0001405		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000478265|SGD:S000005758	PANTHER:PTHR21237	protein		PMID:21873635	20170228
Q9BZE1	MRPL37	"39S ribosomal protein L37, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001040563|UniProtKB:Q9BZE1	PANTHER:PTHR15889	protein		PMID:21873635	20170228
O60260	PRKN	E3 ubiquitin-protein ligase parkin		GO:0005739		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0041100|MGI:MGI:1355296|PANTHER:PTN000188399|RGD:61797|UniProtKB:O60260	PANTHER:PTHR11685	protein		PMID:21873635	20170228
Q6NUN0	ACSM5	"Acyl-coenzyme A synthetase ACSM5, mitochondrial"		GO:0005759		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:99538|PANTHER:PTN001292823|UniProtKB:Q08AH1	PANTHER:PTHR43605	protein		PMID:21873635	20170228
P18858	LIG1	DNA ligase 1		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000048763|PomBase:SPAC20G8.01|SGD:S000002323|TAIR:locus:2199953|UniProtKB:P49916	PANTHER:PTHR45674	protein		PMID:21873635	20170228
Q13686	ALKBH1	Nucleic acid dioxygenase ALKBH1		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000421874|UniProtKB:Q13686	PANTHER:PTHR16557	protein		PMID:21873635	20170228
Q5SXM8	DNLZ	DNL-type zinc finger protein		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000467874|UniProtKB:Q5SXM8	PANTHER:PTHR20922	protein		PMID:21873635	20170228
Q13637	RAB32	Ras-related protein Rab-32		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000636119|UniProtKB:O14966|UniProtKB:Q13637	PANTHER:PTHR24073	protein		PMID:21873635	20170228
Q9BYT8	NLN	"Neurolysin, mitochondrial"		GO:0005758		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000211242|RGD:621518|SGD:S000000562	PANTHER:PTHR11804	protein		PMID:21873635	20170228
Q8WY22	BRI3BP	BRI3-binding protein		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001261902|UniProtKB:Q8WY22	PANTHER:PTHR31253	protein		PMID:21873635	20170228
Q92947	GCDH	"Glutaryl-CoA dehydrogenase, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000098492|RGD:1308829|UniProtKB:Q92947	PANTHER:PTHR42807	protein		PMID:21873635	20170228
O76031	CLPX	"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial"		GO:0005759		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000137292|SGD:S000000431|TAIR:locus:2154257|UniProtKB:O76031	PANTHER:PTHR11262	protein		PMID:21873635	20170228
P20674	COX5A	"Cytochrome c oxidase subunit 5A, mitochondrial"		GO:0005751		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000367750|UniProtKB:P20674	PANTHER:PTHR14200	protein		PMID:21873635	20170228
P20674	COX5A	"Cytochrome c oxidase subunit 5A, mitochondrial"		GO:0006123		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000367750|SGD:S000001093|WB:WBGene00012553	PANTHER:PTHR14200	protein		PMID:21873635	20170228
Q5RI15	COX20	"Cytochrome c oxidase assembly protein COX20, mitochondrial"		GO:0033617		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001269069|SGD:S000002639|UniProtKB:Q5RI15	PANTHER:PTHR31586	protein		PMID:21873635	20170228
Q5RI15	COX20	"Cytochrome c oxidase assembly protein COX20, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001269069|UniProtKB:Q5RI15	PANTHER:PTHR31586	protein		PMID:21873635	20170228
Q9Y6M9	NDUFB9	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9		GO:0005747		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000305443|UniProtKB:Q02369|UniProtKB:Q9Y6M9	PANTHER:PTHR12868	protein		PMID:21873635	20170228
Q6UXN7	TOMM20L	TOMM20-like protein 1		GO:0005742		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000277108|SGD:S000003314	PANTHER:PTHR12430	protein		PMID:21873635	20170228
Q6UXN7	TOMM20L	TOMM20-like protein 1		GO:0070096		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000277108|SGD:S000003314	PANTHER:PTHR12430	protein		PMID:21873635	20170228
Q6UXN7	TOMM20L	TOMM20-like protein 1		GO:0031307		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000277108|SGD:S000003314	PANTHER:PTHR12430	protein		PMID:21873635	20170228
P0DKB6	MPC1L	Mitochondrial pyruvate carrier 1-like protein		GO:0031305		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000365848|SGD:S000003048	PANTHER:PTHR14154	protein		PMID:21873635	20170228
Q96CB9	NSUN4	5-methylcytosine rRNA methyltransferase NSUN4		GO:0005762		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000516152|UniProtKB:Q96CB9	PANTHER:PTHR22808	protein		PMID:21873635	20170228
Q5S007	LRRK2	Leucine-rich repeat serine/threonine-protein kinase 2		GO:0031966		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000585172|UniProtKB:Q5S007	PANTHER:PTHR45752	protein		PMID:21873635	20170228
Q8N159	NAGS	"N-acetylglutamate synthase, mitochondrial"		GO:0005759		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001155497|PomBase:SPAC4G9.09c|SGD:S000000871|SGD:S000003607	PANTHER:PTHR23342	protein		PMID:21873635	20170228
Q9HC21	SLC25A19	Mitochondrial thiamine pyrophosphate carrier		GO:0031305		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000756668|SGD:S000003328	PANTHER:PTHR24089	protein		PMID:21873635	20170228
Q8TC71	SPATA18	Mitochondria-eating protein		GO:0005741		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001094748|UniProtKB:Q8TC71	PANTHER:PTHR21771	protein		PMID:21873635	20170228
Q8TC71	SPATA18	Mitochondria-eating protein		GO:0035694		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001094748|UniProtKB:Q8TC71	PANTHER:PTHR21771	protein		PMID:21873635	20170228
Q92552	MRPS27	"28S ribosomal protein S27, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000483578|UniProtKB:Q92552	PANTHER:PTHR21393	protein		PMID:21873635	20170228
Q13825	AUH	"Methylglutaconyl-CoA hydratase, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:1338011|PANTHER:PTN000234999|TAIR:locus:2129146	PANTHER:PTHR11941	protein		PMID:21873635	20170228
Q9HBH1	PDF	"Peptide deformylase, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000048655|TAIR:locus:2037733|UniProtKB:Q9HBH1	PANTHER:PTHR10458	protein		PMID:21873635	20170228
Q86VQ6	TXNRD3	Thioredoxin reductase 3		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000530453|UniProtKB:A0A143ZVU1|UniProtKB:P61076	PANTHER:PTHR43256	protein		PMID:21873635	20170228
P61604	HSPE1	"10 kDa heat shock protein, mitochondrial"		GO:0005759		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000080669|RGD:2844|SGD:S000005546	PANTHER:PTHR10772	protein		PMID:21873635	20170228
Q6DKK2	TTC19	"Tetratricopeptide repeat protein 19, mitochondrial"		GO:0034551		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0032744|PANTHER:PTN000321934|UniProtKB:Q6DKK2	PANTHER:PTHR13143	protein		PMID:21873635	20170228
Q6DKK2	TTC19	"Tetratricopeptide repeat protein 19, mitochondrial"		GO:0005743		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000321934|UniProtKB:Q6DKK2	PANTHER:PTHR13143	protein		PMID:21873635	20170228
Q9HAV7	GRPEL1	"GrpE protein homolog 1, mitochondrial"		GO:0001405		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000478265|SGD:S000005758	PANTHER:PTHR21237	protein		PMID:21873635	20170228
Q13794	PMAIP1	Phorbol-12-myristate-13-acetate-induced protein 1		GO:0005739		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:1930146|PANTHER:PTN000370924|RGD:1359266|UniProtKB:Q13794	PANTHER:PTHR14299	protein		PMID:21873635	20170228
Q9BYD2	MRPL9	"39S ribosomal protein L9, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000483055|UniProtKB:Q9BYD2	PANTHER:PTHR21368	protein		PMID:21873635	20170228
Q9BYD1	MRPL13	"39S ribosomal protein L13, mitochondrial"		GO:0005762		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000166799|SGD:S000005676|UniProtKB:Q9BYD1	PANTHER:PTHR11545	protein		PMID:21873635	20170228
Q9BYC9	MRPL20	"39S ribosomal protein L20, mitochondrial"		GO:0005761		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000105858|UniProtKB:Q9BYC9	PANTHER:PTHR10986	protein		PMID:21873635	20170228
Q9BYC8	MRPL32	"39S ribosomal protein L32, mitochondrial"		GO:0005743		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001464365|SGD:S000000596	PANTHER:PTHR21026	protein		PMID:21873635	20170228
Q9BYC8	MRPL32	"39S ribosomal protein L32, mitochondrial"		GO:0005762		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001464365|SGD:S000000596|UniProtKB:Q9BYC8	PANTHER:PTHR21026	protein		PMID:21873635	20170228
Q9BXW7	CECR5	Cat eye syndrome critical region protein 5		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000370358|TAIR:locus:2138962	PANTHER:PTHR14269	protein		PMID:21873635	20170228
Q9P015	MRPL15	"39S ribosomal protein L15, mitochondrial"		GO:0005762		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000309578|SGD:S000005228|UniProtKB:Q9P015	PANTHER:PTHR12934	protein		PMID:21873635	20170228
Q9BXM7	PINK1	"Serine/threonine-protein kinase PINK1, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0029891|PANTHER:PTN001121970|UniProtKB:Q9BXM7|WB:WBGene00017137|ZFIN:ZDB-GENE-041212-53	PANTHER:PTHR22972	protein		PMID:21873635	20170228
O14949	UQCRQ	Cytochrome b-c1 complex subunit 8		GO:0006122		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000950370|PomBase:SPAC1782.07|SGD:S000003702	PANTHER:PTHR12119	protein		PMID:21873635	20170228
O14949	UQCRQ	Cytochrome b-c1 complex subunit 8		GO:0005750		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000950370|SGD:S000003702	PANTHER:PTHR12119	protein		PMID:21873635	20170228
Q5T160	RARS2	"Probable arginine--tRNA ligase, mitochondrial"		GO:0032543		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000238101|SGD:S000001133	PANTHER:PTHR11956	protein		PMID:21873635	20170228
Q5T160	RARS2	"Probable arginine--tRNA ligase, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0037526|PANTHER:PTN000238101|SGD:S000001133	PANTHER:PTHR11956	protein		PMID:21873635	20170228
Q12887	COX10	"Protoheme IX farnesyltransferase, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:1917633|PANTHER:PTN000114245|UniProtKB:Q12887	PANTHER:PTHR43448	protein		PMID:21873635	20170228
O14925	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23		GO:0031305		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000394914|UniProtKB:O14925	PANTHER:PTHR15371	protein		PMID:21873635	20170228
O14925	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23		GO:0005744		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000394914|SGD:S000005300|UniProtKB:O14925	PANTHER:PTHR15371	protein		PMID:21873635	20170228
P15056	BRAF	Serine/threonine-protein kinase B-raf		GO:0005739		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:88065|MGI:MGI:88190|PANTHER:PTN000584576	PANTHER:PTHR44329	protein		PMID:21873635	20170228
Q9BYN8	MRPS26	"28S ribosomal protein S26, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001077755|UniProtKB:Q9BYN8	PANTHER:PTHR21035	protein		PMID:21873635	20170228
P50440	GATM	"Glycine amidinotransferase, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000050482|UniProtKB:P50440	PANTHER:PTHR10488	protein		PMID:21873635	20170228
Q969Y2	GTPBP3	"tRNA modification GTPase GTPBP3, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000746268|UniProtKB:Q969Y2|ZFIN:ZDB-GENE-050522-335	PANTHER:PTHR42714	protein		PMID:21873635	20170228
P13804	ETFA	"Electron transfer flavoprotein subunit alpha, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000097952|SGD:S000006208|TAIR:locus:2036467|UniProtKB:P13804	PANTHER:PTHR43153	protein		PMID:21873635	20170228
Q969P6	TOP1MT	"DNA topoisomerase I, mitochondrial"		GO:0042645		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000033239|UniProtKB:Q969P6	PANTHER:PTHR10290	protein		PMID:21873635	20170228
Q969M1	TOMM40L	Mitochondrial import receptor subunit TOM40B		GO:0005742		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000085854|RGD:1303022|RGD:1562006|SGD:S000004816|UniProtKB:O96008	PANTHER:PTHR10802	protein		PMID:21873635	20170228
O95140	MFN2	Mitofusin-2		GO:0031306		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000825684|RGD:628843	PANTHER:PTHR10465	protein		PMID:21873635	20170228
Q9NZJ7	MTCH1	Mitochondrial carrier homolog 1		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001324730|UniProtKB:Q9NZJ7	PANTHER:PTHR10780	protein		PMID:21873635	20170228
P05108	CYP11A1	"Cholesterol side-chain cleavage enzyme, mitochondrial"		GO:0005743		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001547321|RGD:69325	PANTHER:PTHR24279	protein		PMID:21873635	20170228
P07919	UQCRH	"Cytochrome b-c1 complex subunit 6, mitochondrial"		GO:0005750		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000393767|RGD:1305987|SGD:S000001929	PANTHER:PTHR15336	protein		PMID:21873635	20170228
P07919	UQCRH	"Cytochrome b-c1 complex subunit 6, mitochondrial"		GO:0006122		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000393767|SGD:S000001929	PANTHER:PTHR15336	protein		PMID:21873635	20170228
P82675	MRPS5	"28S ribosomal protein S5, mitochondrial"		GO:0005763		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000346855|SGD:S000000455|UniProtKB:P82675|UniProtKB:Q2KID9	PANTHER:PTHR13718	protein		PMID:21873635	20170228
P82673	MRPS35	"28S ribosomal protein S35, mitochondrial"		GO:0005763		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000337133|SGD:S000002582|UniProtKB:Q2YDF6	PANTHER:PTHR13490	protein		PMID:21873635	20170228
P82663	MRPS25	"28S ribosomal protein S25, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000998538|UniProtKB:P82663	PANTHER:PTHR13274	protein		PMID:21873635	20170228
P82650	MRPS22	"28S ribosomal protein S22, mitochondrial"		GO:0005763		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000991170|UniProtKB:P82649|UniProtKB:P82650	PANTHER:PTHR13071	protein		PMID:21873635	20170228
P03901	MT-ND4L	NADH-ubiquinone oxidoreductase chain 4L		GO:0005747		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000153444|UniProtKB:P03902	PANTHER:PTHR11434	protein		PMID:21873635	20170228
Q9C002	NMES1	Normal mucosa of esophagus-specific gene 1 protein		GO:0005751		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:107686|PANTHER:PTN001023184|UniProtKB:O00483	PANTHER:PTHR14256	protein		PMID:21873635	20170228
Q6P2C0	WDR93	WD repeat-containing protein 93		GO:0005747		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:1343135|PANTHER:PTN000259406|UniProtKB:O43181|UniProtKB:Q02375	PANTHER:PTHR12219	protein		PMID:21873635	20170228
Q9UNQ2	DIMT1	Probable dimethyladenosine transferase		GO:0005759		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000197847|SGD:S000004841|UniProtKB:Q9H5Q4	PANTHER:PTHR11727	protein		PMID:21873635	20170228
Q7Z6M4	MTERF4	"Transcription termination factor 4, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0037008|MGI:MGI:1918355|PANTHER:PTN000990885|UniProtKB:Q7Z6M4|UniProtKB:Q96E29	PANTHER:PTHR13068	protein		PMID:21873635	20170228
Q7Z6M4	MTERF4	"Transcription termination factor 4, mitochondrial"		GO:0006390		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0037008|MGI:MGI:1918355|PANTHER:PTN000990885	PANTHER:PTHR13068	protein		PMID:21873635	20170228
Q7Z6M4	MTERF4	"Transcription termination factor 4, mitochondrial"		GO:0032543		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0037008|PANTHER:PTN000990885	PANTHER:PTHR13068	protein		PMID:21873635	20170228
Q9HD33	MRPL47	"39S ribosomal protein L47, mitochondrial"		GO:0005762		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000476023|SGD:S000004431|UniProtKB:Q9HD33	PANTHER:PTHR21183	protein		PMID:21873635	20170228
Q9HD33	MRPL47	"39S ribosomal protein L47, mitochondrial"		GO:0032543		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000476023|SGD:S000004431	PANTHER:PTHR21183	protein		PMID:21873635	20170228
P43897	TSFM	"Elongation factor Ts, mitochondrial"		GO:0005759		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000201460|PomBase:SPBC800.07c	PANTHER:PTHR11741	protein		PMID:21873635	20170228
P43897	TSFM	"Elongation factor Ts, mitochondrial"		GO:0070125		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000201460|PomBase:SPBC800.07c	PANTHER:PTHR11741	protein		PMID:21873635	20170228
P80404	ABAT	"4-aminobutyrate aminotransferase, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0036927|PANTHER:PTN000241230|RGD:620948|UniProtKB:P80404|UniProtKB:Q9BGI0|dictyBase:DDB_G0268104	PANTHER:PTHR43206	protein		PMID:21873635	20170228
Q7KZN9	COX15	Cytochrome c oxidase assembly protein COX15 homolog		GO:0005743		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000590786|SGD:S000000943	PANTHER:PTHR23289	protein		PMID:21873635	20170228
P23378	GLDC	"Glycine dehydrogenase (decarboxylating), mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000206533|RGD:1308660|TAIR:locus:2057464|UniProtKB:P15505|UniProtKB:P23378|UniProtKB:Q94B78	PANTHER:PTHR11773	protein		PMID:21873635	20170228
P23368	ME2	"NAD-dependent malic enzyme, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001157886|RGD:3074|UniProtKB:F1N3V0|UniProtKB:P23368	PANTHER:PTHR23406	protein		PMID:21873635	20170228
P13073	COX4I1	"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"		GO:0006123		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000076140|SGD:S000001373|SGD:S000004997|WB:WBGene00012354	PANTHER:PTHR10707	protein		PMID:21873635	20170228
P13073	COX4I1	"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"		GO:0005751		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000076140|SGD:S000001373|UniProtKB:P00423|UniProtKB:P13073	PANTHER:PTHR10707	protein		PMID:21873635	20170228
Q5TGZ0	MINOS1	MICOS complex subunit MIC10		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000480690|TAIR:locus:2207021|UniProtKB:F4I1E5|UniProtKB:Q5TGZ0	PANTHER:PTHR21304	protein		PMID:21873635	20170228
Q6NVY1	HIBCH	"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000234640|SGD:S000002443|UniProtKB:Q5AI24	PANTHER:PTHR43176	protein		PMID:21873635	20170228
Q9Y2Q3	GSTK1	Glutathione S-transferase kappa 1		GO:0005739		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:1923513|PANTHER:PTN001016058|WB:WBGene00017054	PANTHER:PTHR42943	protein		PMID:21873635	20170228
P36776	LONP1	"Lon protease homolog, mitochondrial"		GO:0005759		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000005479|RGD:621598|SGD:S000000118|UniProtKB:P36776|UniProtKB:Q59HJ6	PANTHER:PTHR43718	protein		PMID:21873635	20170228
P21912	SDHB	"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"		GO:0031966		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000229867|SGD:S000003964	PANTHER:PTHR11921	protein		PMID:21873635	20170228
Q7Z2W9	MRPL21	"39S ribosomal protein L21, mitochondrial"		GO:0005762		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000482432|SGD:S000003632|UniProtKB:Q7Z2W9	PANTHER:PTHR21349	protein		PMID:21873635	20170228
Q05932	FPGS	"Folylpolyglutamate synthase, mitochondrial"		GO:0005759		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000123999|TAIR:locus:2100048	PANTHER:PTHR11136	protein		PMID:21873635	20170228
Q9Y399	MRPS2	"28S ribosomal protein S2, mitochondrial"		GO:0005763		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000283442|SGD:S000000996|UniProtKB:P82923|UniProtKB:Q9Y399	PANTHER:PTHR12534	protein		PMID:21873635	20170228
Q8IVP5	FUNDC1	FUN14 domain-containing protein 1		GO:0031307		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000482219|SGD:S000000006|UniProtKB:Q8IVP5	PANTHER:PTHR21346	protein		PMID:21873635	20170228
G3V325	ATP5J2-PTCD1	ATP5J2-PTCD1 readthrough		GO:0005759		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001165391|RGD:1311473	PANTHER:PTHR24014	protein		PMID:21873635	20170228
Q8N2A8	PLD6	Mitochondrial cardiolipin hydrolase		GO:0005741		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:2687283|PANTHER:PTN000478646|UniProtKB:Q8N2A8	PANTHER:PTHR43856	protein		PMID:21873635	20170228
P48201	ATP5MC3	"ATP synthase F(0) complex subunit C3, mitochondrial"		GO:0000276		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000003243|RGD:61933	PANTHER:PTHR10031	protein		PMID:21873635	20170228
Q96B49	TOMM6	Mitochondrial import receptor subunit TOM6 homolog		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000398999|UniProtKB:Q96B49	PANTHER:PTHR15527	protein		PMID:21873635	20170228
P53701	HCCS	Cytochrome c-type heme lyase		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000297201|UniProtKB:A0A1D8PN32|UniProtKB:P53701	PANTHER:PTHR12743	protein		PMID:21873635	20170228
Q02221	COX6A2	"Cytochrome c oxidase subunit 6A2, mitochondrial"		GO:0006123		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0034877|PANTHER:PTN000161400	PANTHER:PTHR11504	protein		PMID:21873635	20170228
Q02218	OGDH	"2-oxoglutarate dehydrogenase, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:1098267|PANTHER:PTN000568260|RGD:1561359|TAIR:locus:2099981|TAIR:locus:2170000|UniProtKB:Q02218	PANTHER:PTHR23152	protein		PMID:21873635	20170228
Q9NX18	SDHAF2	"Succinate dehydrogenase assembly factor 2, mitochondrial"		GO:0006121		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000279729|UniProtKB:Q9NX18	PANTHER:PTHR12469	protein		PMID:21873635	20170228
Q9NX18	SDHAF2	"Succinate dehydrogenase assembly factor 2, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000279729|UniProtKB:Q9FI44|UniProtKB:Q9NX18	PANTHER:PTHR12469	protein		PMID:21873635	20170228
Q9NX18	SDHAF2	"Succinate dehydrogenase assembly factor 2, mitochondrial"		GO:0034553		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000279729|SGD:S000005432	PANTHER:PTHR12469	protein		PMID:21873635	20170228
Q9NWT8	AURKAIP1	Aurora kinase A-interacting protein		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001593291|UniProtKB:Q9NWT8	PANTHER:PTHR32035	protein		PMID:21873635	20170228
Q9GZT6	CCDC90B	"Coiled-coil domain-containing protein 90B, mitochondrial"		GO:0005739		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000372199|SGD:S000001848|UniProtKB:Q9GZT6|UniProtKB:Q9SIV6	PANTHER:PTHR14360	protein		PMID:21873635	20170228
Q8N945	PRELID2	PRELI domain-containing protein 2		GO:0005758		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000125772|SGD:S000002593|SGD:S000004158|SGD:S000004183|UniProtKB:Q9Y255	PANTHER:PTHR11158	protein		PMID:21873635	20170228
Q96T52	IMMP2L	Mitochondrial inner membrane protease subunit 2		GO:0042720		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:2135611|PANTHER:PTN000962786|SGD:S000004638	PANTHER:PTHR46041	protein		PMID:21873635	20170228
Q96T52	IMMP2L	Mitochondrial inner membrane protease subunit 2		GO:0006627		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:2135611|PANTHER:PTN000962786|SGD:S000004638	PANTHER:PTHR46041	protein		PMID:21873635	20170228
P03897	MT-ND3	NADH-ubiquinone oxidoreductase chain 3		GO:0005747		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000114845|TAIR:locus:504954582|UniProtKB:P03897|UniProtKB:P03898	PANTHER:PTHR11058	protein		PMID:21873635	20170228
